timestamp,asn,num_routes,num_new_routes,num_withdrawals,num_origin_changes,num_route_changes,max_path_length,avg_path_length,max_edit_distance,avg_edit_distance,num_announcements,num_unique_prefixes_announced,anomaly_status
2021-02-11 00:00:00,28548,0,0,37,0,0,0,0.0,0,0.0,967,31,no anomalies detected
2021-02-11 00:05:00,28548,29,21,83,0,8,7,1.6551724137931034,6,1.2413793103448276,1497,29,anomaly detected at 2021-02-11 00:05:00 due to high value of max_path_length=7
2021-02-11 00:10:00,28548,28,16,17,0,12,6,2.2857142857142856,3,1.1428571428571428,87,28,no anomalies detected
2021-02-11 00:15:00,28548,119,105,116,0,14,7,0.6554621848739496,5,0.3025210084033613,3041,119,no anomalies detected
2021-02-11 00:20:00,28548,133,14,6,0,118,6,4.488721804511278,6,2.5413533834586466,2418,133,anomaly detected at 2021-02-11 00:20:00 due to high value of num_route_changes=118
2021-02-11 00:25:00,28548,29,0,104,0,29,10,6.965517241379311,3,2.034482758620689,123,29,anomaly detected at 2021-02-11 00:25:00 due to high value of num_route_changes=29
2021-02-11 00:30:00,28548,155,130,41,0,25,5,0.7548387096774194,9,1.0,2204,155,"anomaly detected at 2021-02-11 00:30:00 due to high value of num_routes=155, num_new_routes=130, num_unique_prefixes_announced=155"
2021-02-11 00:35:00,28548,22,2,139,0,8,10,4.818181818181818,9,1.6363636363636365,108,22,"anomaly detected at 2021-02-11 00:35:00 due to high value of num_routes=22, num_new_routes=2, num_unique_prefixes_announced=22"
2021-02-11 00:40:00,28548,131,121,60,0,10,10,0.4198473282442748,5,0.2671755725190839,1037,131,anomaly detected at 2021-02-11 00:40:00 due to high value of num_new_routes=121
2021-02-11 00:45:00,28548,24,12,119,0,11,8,2.958333333333333,8,1.875,52,24,no anomalies detected
2021-02-11 00:50:00,28548,5,2,21,0,3,10,5.4,8,3.2,96,5,no anomalies detected
2021-02-11 00:55:00,28548,25,21,3,0,4,7,0.96,8,0.84,90,25,no anomalies detected
